word,category,type,rel_type,freq,Nfreq,Vfreq,lemmalogfreq,logNfreq,logVfreq,NVratio,Vcatfreq,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nplural,Nsing,Ncollect,Nuncollect,Nmorph,Categories,MorphStatus,NPrel,SCrel,Nonerel,NPOnlyrel,entropy,bareformlength,Sform,edform,bareform,Sformlength,edformlength
customer,n,count,rel,690,690,0,2.839478047,2.839478047,0,691,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],obscure,,,,,,8,customers,customered,customer,9,10
opponent,n,count,rel,612,612,0,2.787460475,2.787460475,0,613,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],complex,,,,,,8,opponents,opponented,opponent,9,10
victim,n,count,rel,972,972,0,2.98811284,2.98811284,0,973,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,victims,victimed,victim,7,8
border,n,count,rel,885,785,100,2.947433722,2.895422546,2.004321374,7.782178218,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"['noun', 'verb']",may_include_a_root,0.734706,0,0.081928,0.570848,1.633751317,6,borders,bordered,border,7,8
predator,n,count,rel,129,129,0,2.113943352,2.113943352,0,130,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],obscure,,,,,,8,predators,predatored,predator,9,10
assassin,n,count,rel,95,95,0,1.982271233,1.982271233,0,96,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,8,assassins,assassined,assassin,9,10
citizen,n,count,rel,867,867,0,2.938519725,2.938519725,0,868,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,7,citizens,citizened,citizen,8,9
president,n,count,rel,2469,2469,0,3.392696953,3.392696953,0,2470,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],complex,,,,,,9,presidents,presidented,president,10,11
heir,n,count,rel,174,174,0,2.243038049,2.243038049,0,175,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,4,heirs,heired,heir,5,6
candidate,n,count,rel,980,980,0,2.991669007,2.991669007,0,981,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,9,candidates,candidated,candidate,10,11
clay,n,mass,no_rel,372,372,0,2.571708832,2.571708832,0,373,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,4,clays,clayed,clay,5,6
bread,n,mass,no_rel,1327,1327,0,3.123198075,3.123198075,0,1328,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,5,breads,breaded,bread,6,7
flesh,n,mass,no_rel,930,930,0,2.968949681,2.968949681,0,931,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,5,fleshes,fleshed,flesh,6,7
health,n,mass,no_rel,2361,2361,0,3.373279893,3.373279893,0,2362,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],complex,,,,,,6,healths,healthed,health,7,8
pollen,n,mass,no_rel,105,105,0,2.025305865,2.025305865,0,106,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,pollens,pollened,pollen,7,8
pork,n,mass,no_rel,150,150,0,2.178976947,2.178976947,0,151,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,4,porks,porked,pork,5,6
