,target,Categories,Nfreq,Vfreq,logfreq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,NPrel,Nonerel,NPOnlyrel,MorphStatus
1250,haystack,['noun'],21,0,1.34242268082,22.0,True,False,False,False,False,1,,,,complex
1255,assemblyman,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,1,,,,complex
1256,sump,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,1,,,,monomorphemic
1257,recrudescence,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,1,,,,complex
1275,superintendent,['noun'],136,0,2.13672056716,137.0,True,False,False,False,False,1,,,,complex
1285,cavity,['noun'],63,0,1.80617997398,64.0,True,False,False,False,False,1,,,,complex
1287,seaman,['noun'],76,0,1.88649072517,77.0,True,False,False,False,False,1,,,,complex
1288,pentathlon,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,0,,,,may_include_a_root
1290,sunshade,['noun'],8,0,0.954242509439,9.0,True,False,False,False,False,1,,,,complex
1297,playing-field,['noun'],9,0,1.0,10.0,True,False,False,False,False,1,,,,complex
1298,meniscus,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,monomorphemic
1301,freeloader,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,1,,,,complex
1303,summing-up,['noun'],8,0,0.954242509439,9.0,True,False,False,False,False,1,,,,zero_derivation
1305,trickster,['noun'],11,0,1.07918124605,12.0,True,False,False,False,False,2,,,,complex
1308,newsboy,['noun'],7,0,0.903089986992,8.0,True,False,False,False,False,1,,,,complex
1322,antidote,['noun'],39,0,1.60205999133,40.0,True,False,False,False,False,0,,,,obscure
1328,verger,['noun'],11,0,1.07918124605,12.0,True,False,False,False,False,0,,,,obscure
1338,harpsichord,['noun'],16,0,1.23044892138,17.0,True,False,False,False,False,0,,,,may_include_a_root
1346,statesman,['noun'],136,0,2.13672056716,137.0,True,False,False,False,False,1,,,,complex
1348,tunic,['noun'],56,0,1.75587485567,57.0,True,False,False,False,False,1,,,,monomorphemic
1353,raga,['noun'],13,0,1.14612803568,14.0,True,False,False,False,False,1,,,,monomorphemic
1358,ruse,['noun'],22,0,1.36172783602,23.0,True,False,False,False,False,1,,,,monomorphemic
1372,epaulet,['noun'],23,0,1.38021124171,24.0,True,False,False,False,False,1,,,,monomorphemic
1375,bride-to-be,['noun'],6,0,0.845098040014,7.0,True,False,False,False,False,0,,,,irrelevant
1376,sawhorse,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
1390,yogi,['noun'],6,0,0.845098040014,7.0,True,False,False,False,False,1,,,,monomorphemic
1396,crofter,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,1,,,,complex
1397,puppy,['noun'],123,0,2.09342168516,124.0,True,False,False,False,False,1,,,,complex
1403,midget,['noun'],34,0,1.54406804435,35.0,True,False,False,False,False,1,,,,complex
1414,firebrand,['noun'],9,0,1.0,10.0,True,False,False,False,False,1,,,,complex
1415,madrigal,['noun'],21,0,1.34242268082,22.0,True,False,False,False,False,1,,,,monomorphemic
1417,kilogram,['noun'],158,0,2.20139712432,159.0,True,False,False,False,False,1,,,,complex
1418,dyer,['noun'],13,0,1.14612803568,14.0,True,False,False,False,False,1,,,,complex
1421,bluejacket,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
1422,curate,['noun'],43,0,1.64345267649,44.0,True,False,False,False,False,0,,,,obscure
1425,fishbone,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,1,,,,complex
1428,hubble-bubble,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,0,,,,obscure
1433,norm,['noun'],183,0,2.26481782301,184.0,True,False,False,False,False,1,,,,monomorphemic
1435,dosshouse,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,1,,,,complex
1439,baton,['noun'],91,0,1.96378782735,92.0,True,False,False,False,False,0,,,,undetermined
1440,burgher,['noun'],14,0,1.17609125906,15.0,True,False,False,False,False,1,,,,complex
1441,floater,['noun'],21,0,1.34242268082,22.0,True,False,False,False,False,1,,,,complex
1449,boozer,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,1,,,,complex
1457,milord,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,1,,,,complex
1458,gundog,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
1463,healer,['noun'],33,0,1.53147891704,34.0,True,False,False,False,False,1,,,,complex
1475,corker,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
1477,jurist,['noun'],11,0,1.07918124605,12.0,True,False,False,False,False,0,,,,obscure
